iter	Passed	Remaining
911	6265	604
912	6271	597
913	6277	590
914	6283	583
915	6288	576
916	6294	569
917	6300	562
918	6306	555
919	6312	548
920	6317	541
921	6323	534
922	6329	528
923	6334	521
924	6341	514
925	6347	507
926	6352	500
927	6359	493
928	6364	486
929	6370	479
930	6376	472
931	6381	465
932	6388	458
933	6394	451
934	6402	445
935	6408	438
936	6414	431
937	6420	424
938	6425	417
939	6431	410
940	6437	403
941	6442	396
942	6448	389
943	6455	382
944	6461	376
945	6467	369
946	6472	362
947	6478	355
948	6483	348
949	6489	341
950	6495	334
951	6500	327
952	6506	320
953	6511	313
954	6517	307
955	6523	300
956	6528	293
957	6535	286
958	6540	279
959	6546	272
960	6552	265
961	6558	259
962	6564	252
963	6569	245
964	6575	238
965	6581	231
966	6586	224
967	6592	217
968	6598	211
969	6604	204
970	6609	197
971	6616	190
972	6621	183
973	6627	176
974	6633	170
975	6638	163
976	6644	156
977	6650	149
978	6656	142
979	6662	135
980	6667	129
981	6672	122
982	6679	115
983	6686	108
984	6694	101
985	6702	95
986	6710	88
987	6718	81
988	6724	74
989	6731	67
990	6737	61
991	6743	54
992	6752	47
993	6758	40
994	6765	33
995	6771	27
996	6779	20
997	6784	13
998	6790	6
999	6798	0
